track_id,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,type,valence,song_uri
6f8WPDb2IoYSKu5LgHcyrw,0.349,0.976,7.97e-06,0.56,-5.08,0.155,89.947,audio_features,0.207,spotify:track:6f8WPDb2IoYSKu5LgHcyrw
6K9AUIANWBsJnEVNulEUcR,0.443,0.961,0.00293,0.4,-5.746,0.155,134.981,audio_features,0.0404,spotify:track:6K9AUIANWBsJnEVNulEUcR
0c9zEgUiddd9bAkkgsHswK,0.291,0.938,0.00397,0.489,-7.237,0.139,115.994,audio_features,0.12,spotify:track:0c9zEgUiddd9bAkkgsHswK
14a0XN1wLMySNpgwH5Vl78,0.414,0.964,1.97e-05,0.335,-5.644,0.137,104.019,audio_features,0.23,spotify:track:14a0XN1wLMySNpgwH5Vl78
5f4S8HdIFFsNTL9jSyg6uE,0.431,0.973,0.00478,0.183,-5.72,0.18,129.448,audio_features,0.121,spotify:track:5f4S8HdIFFsNTL9jSyg6uE
1l9PwvorwlR1vQxG4uuS8Y,0.35,0.9,4.37e-05,0.25,-6.087,0.119,191.317,audio_features,0.235,spotify:track:1l9PwvorwlR1vQxG4uuS8Y
1upBo39HjHVf3CsC13NzS2,0.552,0.783,0.89,0.586,-9.964,0.0401,119.987,audio_features,0.247,spotify:track:1upBo39HjHVf3CsC13NzS2
0Bt35EB4dVt360wTCAqY7q,0.144,0.965,7.77e-06,0.512,-6.067,0.349,190.798,audio_features,0.0983,spotify:track:0Bt35EB4dVt360wTCAqY7q
4fzZAgUykcaewwXpobO63w,0.444,0.931,1.28e-05,0.248,-6.454,0.147,145.076,audio_features,0.0845,spotify:track:4fzZAgUykcaewwXpobO63w
2yIPqzwC39IV9qDszT9OFI,0.303,0.962,0.00033,0.0601,-6.515,0.102,104.728,audio_features,0.121,spotify:track:2yIPqzwC39IV9qDszT9OFI
3SODFbIqfjJrAgom5YdES4,0.497,0.977,0.806,0.0956,-7.251,0.0978,140.006,audio_features,0.0637,spotify:track:3SODFbIqfjJrAgom5YdES4
44VSLUtk6K65EUWF7nNLtH,0.215,0.992,0.000289,0.102,-3.96,0.234,139.997,audio_features,0.0796,spotify:track:44VSLUtk6K65EUWF7nNLtH
